curr pt[0] time,curr pt[0] vehicle time,curr pt[0],curr pt[1] time,curr pt[1] vehicle time,curr pt[1],desired_x time,desired_x vehicle time,desired_x,desired_y time,desired_y vehicle time,desired_y,Stanley: path param time,Stanley: path param vehicle time,Stanley: path param,Stanley: crosstrack dist time,Stanley: crosstrack dist vehicle time,Stanley: crosstrack dist,crosstrack error time,crosstrack error vehicle time,crosstrack error,Stanley: yaw_error time,Stanley: yaw_error vehicle time,Stanley: yaw_error,steering_angle time,steering_angle vehicle time,steering_angle,Stanley: desired_speed (m/s) time,Stanley: desired_speed (m/s) vehicle time,Stanley: desired_speed (m/s),Stanley: feedforward_accel (m/s^2) time,Stanley: feedforward_accel (m/s^2) vehicle time,Stanley: feedforward_accel (m/s^2),Stanley: output_accel (m/s^2) time,Stanley: output_accel (m/s^2) vehicle time,Stanley: output_accel (m/s^2),Stanley: current yaw (rad) time,Stanley: current yaw (rad) vehicle time,Stanley: current yaw (rad),Stanley: current speed (m/s) time,Stanley: current speed (m/s) vehicle time,Stanley: current speed (m/s)
1746658181.8201852,27.94782066345215,-24.003342996997556,1746658181.820191,27.94782066345215,3.819215522533579,1746658181.8201976,27.94782066345215,0.24087668481684715,1746658181.8202014,27.94782066345215,0.01932797707182772,1746658181.8202055,27.94782066345215,0.0,1746658181.8202088,27.94782066345215,27.09618630742843,1746658181.8202124,27.94782066345215,27.09618630742843,1746658181.8202157,27.94782066345215,-2.9554899178618452,1746658181.8202188,27.94782066345215,-2.246178519567696,1746658181.820222,27.94782066345215,0.0,1746658181.8202252,27.94782066345215,2.07,1746658181.8202288,27.94782066345215,-0.29547359759314196,1746658181.8202322,27.94782066345215,3.0449633155456852,1746658181.8202355,27.94782066345215,2.956841996991427
1746658181.841297,27.967851877212524,-24.298205595642166,1746658181.841303,27.967851877212524,3.841063588843154,1746658181.84131,27.967851877212524,0.24087668481684715,1746658181.841314,27.967851877212524,0.01932797707182772,1746658181.8413184,27.967851877212524,0.0,1746658181.841322,27.967851877212524,27.391168326477267,1746658181.8413253,27.967851877212524,27.391168326477267,1746658181.8413289,27.967851877212524,-2.954328646468516,1746658181.8413317,27.967851877212524,-2.239139218067839,1746658181.8413353,27.967851877212524,0.0,1746658181.8413386,27.967851877212524,2.07,1746658181.8413417,27.967851877212524,-0.29181092244285617,1746658181.8413448,27.967851877212524,3.043802044152356,1746658181.841348,27.967851877212524,2.9535119576773514
1746658181.8601627,27.98784351348877,-24.298205595642166,1746658181.8601682,27.98784351348877,3.841063588843154,1746658181.8601747,27.98784351348877,0.24087668481684715,1746658181.860179,27.98784351348877,0.01932797707182772,1746658181.8601832,27.98784351348877,0.0,1746658181.8601863,27.98784351348877,27.391168326477267,1746658181.86019,27.98784351348877,27.391168326477267,1746658181.8601933,27.98784351348877,-2.954328646468516,1746658181.8601964,27.98784351348877,-2.239139218067839,1746658181.8601995,27.98784351348877,0.0,1746658181.860203,27.98784351348877,2.07,1746658181.8602064,27.98784351348877,-0.29280956614188147,1746658181.8602097,27.98784351348877,3.043802044152356,1746658181.860213,27.98784351348877,2.9535119576773514
1746658181.8800356,28.007833003997803,-24.298205595642166,1746658181.8800402,28.007833003997803,3.841063588843154,1746658181.8800457,28.007833003997803,0.24087668481684715,1746658181.8800488,28.007833003997803,0.01932797707182772,1746658181.8800519,28.007833003997803,0.0,1746658181.8800545,28.007833003997803,27.391168326477267,1746658181.8800578,28.007833003997803,27.391168326477267,1746658181.8800604,28.007833003997803,-2.954328646468516,1746658181.880063,28.007833003997803,-2.239139218067839,1746658181.8800652,28.007833003997803,0.0,1746658181.880068,28.007833003997803,2.07,1746658181.880071,28.007833003997803,-0.29280956614188147,1746658181.8800735,28.007833003997803,3.043802044152356,1746658181.880076,28.007833003997803,2.9535119576773514
1746658181.8999531,28.027857780456543,-24.298205595642166,1746658181.8999567,28.027857780456543,3.841063588843154,1746658181.8999608,28.027857780456543,0.24087668481684715,1746658181.8999634,28.027857780456543,0.01932797707182772,1746658181.8999662,28.027857780456543,0.0,1746658181.8999681,28.027857780456543,27.391168326477267,1746658181.8999705,28.027857780456543,27.391168326477267,1746658181.899973,28.027857780456543,-2.954328646468516,1746658181.8999748,28.027857780456543,-2.239139218067839,1746658181.899977,28.027857780456543,0.0,1746658181.8999794,28.027857780456543,2.07,1746658181.8999813,28.027857780456543,-0.29280956614188147,1746658181.8999834,28.027857780456543,3.043802044152356,1746658181.8999853,28.027857780456543,2.9535119576773514
1746658181.9199734,28.04783034324646,-24.298205595642166,1746658181.919977,28.04783034324646,3.841063588843154,1746658181.9199812,28.04783034324646,0.24087668481684715,1746658181.9199836,28.04783034324646,0.01932797707182772,1746658181.9199865,28.04783034324646,0.0,1746658181.9199884,28.04783034324646,27.391168326477267,1746658181.919991,28.04783034324646,27.391168326477267,1746658181.9199934,28.04783034324646,-2.954328646468516,1746658181.919995,28.04783034324646,-2.239139218067839,1746658181.9199972,28.04783034324646,0.0,1746658181.9199998,28.04783034324646,2.07,1746658181.9200017,28.04783034324646,-0.29280956614188147,1746658181.920004,28.04783034324646,3.043802044152356,1746658181.9200058,28.04783034324646,2.9535119576773514
1746658181.9410145,28.067808866500854,-24.592613188832754,1746658181.9410217,28.067808866500854,3.8630139065919504,1746658181.9410298,28.067808866500854,0.24087668481684715,1746658181.9410348,28.067808866500854,0.01932797707182772,1746658181.9410398,28.067808866500854,0.0,1746658181.9410446,28.067808866500854,27.68571370483819,1746658181.941049,28.067808866500854,27.68571370483819,1746658181.9410536,28.067808866500854,-2.953260852029449,1746658181.941056,28.067808866500854,-2.2325703564123125,1746658181.9410586,28.067808866500854,0.0,1746658181.941061,28.067808866500854,2.07,1746658181.9410636,28.067808866500854,-0.29139719199605235,1746658181.9410665,28.067808866500854,3.042734249713289,1746658181.9410694,28.067808866500854,2.9522281134629793
1746658181.9601953,28.087836503982544,-24.592613188832754,1746658181.9602003,28.087836503982544,3.8630139065919504,1746658181.9602065,28.087836503982544,0.24087668481684715,1746658181.96021,28.087836503982544,0.01932797707182772,1746658181.9602137,28.087836503982544,0.0,1746658181.9602165,28.087836503982544,27.68571370483819,1746658181.9602199,28.087836503982544,27.68571370483819,1746658181.960223,28.087836503982544,-2.953260852029449,1746658181.9602256,28.087836503982544,-2.2325703564123125,1746658181.9602284,28.087836503982544,0.0,1746658181.9602315,28.087836503982544,2.07,1746658181.9602344,28.087836503982544,-0.2917824907703839,1746658181.9602373,28.087836503982544,3.042734249713289,1746658181.96024,28.087836503982544,2.9522281134629793
1746658181.9800692,28.10780143737793,-24.592613188832754,1746658181.9800742,28.10780143737793,3.8630139065919504,1746658181.9800801,28.10780143737793,0.24087668481684715,1746658181.980084,28.10780143737793,0.01932797707182772,1746658181.9800875,28.10780143737793,0.0,1746658181.9800906,28.10780143737793,27.68571370483819,1746658181.9800937,28.10780143737793,27.68571370483819,1746658181.9800966,28.10780143737793,-2.953260852029449,1746658181.9800994,28.10780143737793,-2.2325703564123125,1746658181.9801018,28.10780143737793,0.0,1746658181.980105,28.10780143737793,2.07,1746658181.980108,28.10780143737793,-0.2917824907703839,1746658181.9801111,28.10780143737793,3.042734249713289,1746658181.9801137,28.10780143737793,2.9522281134629793
1746658182.000541,28.12784695625305,-24.592613188832754,1746658182.0005546,28.12784695625305,3.8630139065919504,1746658182.0005665,28.12784695625305,0.24087668481684715,1746658182.000573,28.12784695625305,0.01932797707182772,1746658182.0005796,28.12784695625305,0.0,1746658182.0005846,28.12784695625305,27.68571370483819,1746658182.0005903,28.12784695625305,27.68571370483819,1746658182.0005956,28.12784695625305,-2.953260852029449,1746658182.0006006,28.12784695625305,-2.2325703564123125,1746658182.000608,28.12784695625305,0.0,1746658182.000616,28.12784695625305,2.07,1746658182.0006256,28.12784695625305,-0.2917824907703839,1746658182.000635,28.12784695625305,3.042734249713289,1746658182.0006428,28.12784695625305,2.9522281134629793
1746658182.020555,28.147834539413452,-24.592613188832754,1746658182.0205688,28.147834539413452,3.8630139065919504,1746658182.0205848,28.147834539413452,0.24087668481684715,1746658182.0205934,28.147834539413452,0.01932797707182772,1746658182.0206032,28.147834539413452,0.0,1746658182.0206118,28.147834539413452,27.68571370483819,1746658182.0206203,28.147834539413452,27.68571370483819,1746658182.0206285,28.147834539413452,-2.953260852029449,1746658182.020637,28.147834539413452,-2.2325703564123125,1746658182.0206454,28.147834539413452,0.0,1746658182.0206544,28.147834539413452,2.07,1746658182.0206628,28.147834539413452,-0.2917824907703839,1746658182.020672,28.147834539413452,3.042734249713289,1746658182.0206802,28.147834539413452,2.9522281134629793
1746658182.0420096,28.167850494384766,-24.886881208620192,1746658182.0420184,28.167850494384766,3.8856691846830347,1746658182.0420282,28.167850494384766,0.24087668481684715,1746658182.0420344,28.167850494384766,0.01932797707182772,1746658182.0420408,28.167850494384766,0.0,1746658182.042046,28.167850494384766,27.98022278954281,1746658182.0420516,28.167850494384766,27.98022278954281,1746658182.0420566,28.167850494384766,-2.952293858237641,1746658182.042061,28.167850494384766,-2.2258305189206844,1746658182.042066,28.167850494384766,0.0,1746658182.0420713,28.167850494384766,2.07,1746658182.0420763,28.167850494384766,-0.2881344649093204,1746658182.042082,28.167850494384766,3.041767255921481,1746658182.042087,28.167850494384766,2.94891003023434
1746658182.0605083,28.18782949447632,-24.886881208620192,1746658182.0605168,28.18782949447632,3.8856691846830347,1746658182.0605268,28.18782949447632,0.24087668481684715,1746658182.0605328,28.18782949447632,0.01932797707182772,1746658182.0605392,28.18782949447632,0.0,1746658182.0605443,28.18782949447632,27.98022278954281,1746658182.06055,28.18782949447632,27.98022278954281,1746658182.060555,28.18782949447632,-2.952293858237641,1746658182.0605595,28.18782949447632,-2.2258305189206844,1746658182.0605648,28.18782949447632,0.0,1746658182.06057,28.18782949447632,2.07,1746658182.0605752,28.18782949447632,-0.2891280241874723,1746658182.0605803,28.18782949447632,3.041767255921481,1746658182.0605853,28.18782949447632,2.94891003023434
