curr pt[0] time,curr pt[0] vehicle time,curr pt[0],curr pt[1] time,curr pt[1] vehicle time,curr pt[1],curr param time,curr param vehicle time,curr param,desired pt[0] time,desired pt[0] vehicle time,desired pt[0],desired pt[1] time,desired pt[1] vehicle time,desired pt[1],desired yaw (rad) time,desired yaw (rad) vehicle time,desired yaw (rad),crosstrack error time,crosstrack error vehicle time,crosstrack error,front wheel angle (rad) time,front wheel angle (rad) vehicle time,front wheel angle (rad),desired speed (m/s) time,desired speed (m/s) vehicle time,desired speed (m/s),feedforward accel (m/s^2) time,feedforward accel (m/s^2) vehicle time,feedforward accel (m/s^2),output accel (m/s^2) time,output accel (m/s^2) vehicle time,output accel (m/s^2)
1739898136.9811964,21.00404143333435,0.7484530503476289,1739898136.981206,21.00404143333435,0.024510112379514094,1739898136.9812179,21.00404143333435,0.028731018342423885,1739898136.9812286,21.00404143333435,7.539756712220488,1739898136.981234,21.00404143333435,-0.13,1739898136.9812407,21.00404143333435,-0.022747246977801328,1739898136.981247,21.00404143333435,-0.011340278006448327,1739898136.9812524,21.00404143333435,-0.0018873559964707343,1739898136.9812574,21.00404143333435,2.4886854035284975,1739898136.9812636,21.00404143333435,0.0,1739898136.981269,21.00404143333435,0.649176711707888
1739898136.9998903,21.024056434631348,0.7484530503476289,1739898136.9998999,21.024056434631348,0.024510112379514094,1739898136.9999106,21.024056434631348,0.028731018342423885,1739898136.9999216,21.024056434631348,7.539756712220488,1739898136.9999268,21.024056434631348,-0.13,1739898136.999934,21.024056434631348,-0.022747246977801328,1739898136.9999404,21.024056434631348,-0.011340278006448327,1739898136.9999456,21.024056434631348,-0.0018873559964707343,1739898136.999951,21.024056434631348,2.4886854035284975,1739898136.999957,21.024056434631348,0.0,1739898136.9999626,21.024056434631348,0.6497571472009573
1739898137.0199487,21.044050931930542,0.7484530503476289,1739898137.0199583,21.044050931930542,0.024510112379514094,1739898137.0199707,21.044050931930542,0.028731018342423885,1739898137.019981,21.044050931930542,7.539756712220488,1739898137.019986,21.044050931930542,-0.13,1739898137.0199926,21.044050931930542,-0.022747246977801328,1739898137.0199988,21.044050931930542,-0.011340278006448327,1739898137.0200038,21.044050931930542,-0.0018873559964707343,1739898137.020009,21.044050931930542,2.4886854035284975,1739898137.0200155,21.044050931930542,0.0,1739898137.0200205,21.044050931930542,0.6497571472009573
1739898137.0402226,21.064059495925903,0.7484530503476289,1739898137.040232,21.064059495925903,0.024510112379514094,1739898137.0402436,21.064059495925903,0.028731018342423885,1739898137.0402544,21.064059495925903,7.539756712220488,1739898137.0402598,21.064059495925903,-0.13,1739898137.040267,21.064059495925903,-0.022747246977801328,1739898137.0402732,21.064059495925903,-0.011340278006448327,1739898137.0402782,21.064059495925903,-0.0018873559964707343,1739898137.0402837,21.064059495925903,2.4886854035284975,1739898137.0402899,21.064059495925903,0.0,1739898137.0402954,21.064059495925903,0.6497571472009573
1739898137.0607579,21.08401656150818,0.7484530503476289,1739898137.0607674,21.08401656150818,0.024510112379514094,1739898137.0608103,21.08401656150818,0.028731018342423885,1739898137.0608296,21.08401656150818,7.539756712220488,1739898137.0608354,21.08401656150818,-0.13,1739898137.060843,21.08401656150818,-0.022747246977801328,1739898137.0608492,21.08401656150818,-0.011340278006448327,1739898137.0608542,21.08401656150818,-0.0018873559964707343,1739898137.0608594,21.08401656150818,2.4886854035284975,1739898137.0608656,21.08401656150818,0.0,1739898137.0608706,21.08401656150818,0.6497571472009573
1739898137.082059,21.10399889945984,0.7526408475469184,1739898137.0820682,21.10399889945984,0.024584290031477628,1739898137.0820794,21.10399889945984,0.028772896314416783,1739898137.0820901,21.10399889945984,7.539778614776959,1739898137.0820956,21.10399889945984,-0.13,1739898137.0821028,21.10399889945984,-0.022772127735350527,1739898137.082109,21.10399889945984,-0.011404609324965453,1739898137.082114,21.10399889945984,-0.0019003912134442082,1739898137.0821195,21.10399889945984,2.488621364187095,1739898137.0821254,21.10399889945984,0.0,1739898137.0821307,21.10399889945984,0.6496423617297477
1739898137.1010559,21.124034881591797,0.7526408475469184,1739898137.101065,21.124034881591797,0.024584290031477628,1739898137.1010764,21.124034881591797,0.028772896314416783,1739898137.1010873,21.124034881591797,7.539778614776959,1739898137.1010926,21.124034881591797,-0.13,1739898137.1010995,21.124034881591797,-0.022772127735350527,1739898137.101106,21.124034881591797,-0.011404609324965453,1739898137.101111,21.124034881591797,-0.0019003912134442082,1739898137.1011164,21.124034881591797,2.488621364187095,1739898137.1011226,21.124034881591797,0.0,1739898137.1011276,21.124034881591797,0.649699766331395
1739898137.1199663,21.14405083656311,0.7526408475469184,1739898137.119976,21.14405083656311,0.024584290031477628,1739898137.1199875,21.14405083656311,0.028772896314416783,1739898137.1199985,21.14405083656311,7.539778614776959,1739898137.120004,21.14405083656311,-0.13,1739898137.120011,21.14405083656311,-0.022772127735350527,1739898137.120017,21.14405083656311,-0.011404609324965453,1739898137.1200225,21.14405083656311,-0.0019003912134442082,1739898137.1200275,21.14405083656311,2.488621364187095,1739898137.1200337,21.14405083656311,0.0,1739898137.1200395,21.14405083656311,0.649699766331395
1739898137.1395335,21.16402816772461,0.7526408475469184,1739898137.139542,21.16402816772461,0.024584290031477628,1739898137.139552,21.16402816772461,0.028772896314416783,1739898137.1395617,21.16402816772461,7.539778614776959,1739898137.1395664,21.16402816772461,-0.13,1739898137.139573,21.16402816772461,-0.022772127735350527,1739898137.1395783,21.16402816772461,-0.011404609324965453,1739898137.1395829,21.16402816772461,-0.0019003912134442082,1739898137.1395876,21.16402816772461,2.488621364187095,1739898137.1395931,21.16402816772461,0.0,1739898137.139598,21.16402816772461,0.649699766331395
1739898137.160071,21.184033155441284,0.7526408475469184,1739898137.1600847,21.184033155441284,0.024584290031477628,1739898137.1601024,21.184033155441284,0.028772896314416783,1739898137.1601195,21.184033155441284,7.539778614776959,1739898137.1601284,21.184033155441284,-0.13,1739898137.1601408,21.184033155441284,-0.022772127735350527,1739898137.1601508,21.184033155441284,-0.011404609324965453,1739898137.16016,21.184033155441284,-0.0019003912134442082,1739898137.160165,21.184033155441284,2.488621364187095,1739898137.1601713,21.184033155441284,0.0,1739898137.1601768,21.184033155441284,0.649699766331395
