41.691,-0.095,-0.009
42.113,-0.103,-0.01
42.524,-0.109,-0.012
42.928,-0.117,-0.013
43.329,-0.122,-0.014
43.731,-0.129,-0.015
44.135,-0.134,-0.016
44.52,-0.139,-0.017
44.946,-0.143,-0.016
45.345,-0.136,-0.011
45.739,-0.122,0
46.133,-0.105,0.014
46.527,-0.086,0.031
46.913,-0.059,0.051
47.297,-0.02,0.078
47.674,0.034,0.113
48.052,0.101,0.149
48.431,0.186,0.192
48.795,0.295,0.248
49.219,0.461,0.331
49.613,0.66,0.418
49.965,0.87,0.501
50.322,1.125,0.594
50.696,1.46,0.705
51.05,1.878,0.837
51.446,2.555,1.037
51.799,3.919,1.383
51.426,6.064,1.905
51.055,6.734,2.086
50.696,7.197,2.224
50.282,7.606,2.359
49.896,7.899,2.472
49.49,8.141,2.58
49.093,8.323,2.68
48.693,8.462,2.776
48.293,8.562,2.871
47.892,8.621,2.964
47.495,8.642,3.055
47.105,8.631,-3.138
46.713,8.589,-3.047
46.32,8.516,-2.954
45.851,8.357,-2.838
45.466,8.168,-2.737
45.102,7.942,-2.636
44.71,7.632,-2.517
44.321,7.243,-2.385
43.966,6.777,-2.246
43.593,6.072,-2.056
43.242,4.796,-1.792
42.87,3.118,-1.821
42.493,2.173,-1.986
42.106,1.573,-2.137
41.735,1.167,-2.284
41.333,0.843,-2.431
40.934,0.601,-2.562
40.554,0.431,-2.676
40.134,0.284,-2.777
39.73,0.178,-2.861
39.351,0.099,-2.926
38.942,0.032,-2.981
38.507,-0.016,-3.027
38.14,-0.048,-3.055
37.748,-0.074,-3.075
37.336,-0.092,-3.093
36.8,-0.104,-3.116
36.443,-0.104,-3.128
36.014,-0.104,-3.136
35.603,-0.102,-3.137
35.212,-0.1,-3.136
34.748,-0.099,-3.135
34.394,-0.098,-3.137
34.034,-0.097,-3.139
33.671,-0.096,-3.14
33.302,-0.093,-3.141
32.932,-0.089,3.14
32.558,-0.085,3.139
32.055,-0.081,3.139
31.675,-0.078,3.139
31.292,-0.075,3.138
30.779,-0.071,3.138
30.394,-0.067,3.138
30.008,-0.063,3.138
29.506,-0.058,3.138
29.144,-0.056,3.137
28.79,-0.053,3.137
28.328,-0.05,3.137
27.874,-0.047,3.137
27.423,-0.044,3.136
26.981,-0.04,3.135
26.536,-0.036,3.136
26.082,-0.033,3.136
25.732,-0.03,3.136
25.381,-0.028,3.136
24.922,-0.024,3.136
24.481,-0.019,3.136
24.043,-0.015,3.136
23.608,-0.017,3.136
23.174,-0.02,3.136
22.738,-0.022,3.137
22.291,-0.019,3.136
21.841,-0.016,3.136
21.46,-0.016,3.137
21.061,-0.017,3.137
20.709,-0.018,3.137
20.293,-0.016,3.137
19.853,-0.014,3.137
19.409,-0.012,3.137
18.962,-0.011,3.138
18.51,-0.01,3.137
18.061,-0.006,3.137
17.608,-0.003,3.138
17.149,0.001,3.138
16.683,0.004,3.138
16.332,0.006,3.139
15.98,0.008,3.139
15.51,0.009,3.14
15.157,0.009,3.14
14.802,0.009,3.14
