curr pt[0] time,curr pt[0] vehicle time,curr pt[0],curr pt[1] time,curr pt[1] vehicle time,curr pt[1],curr param time,curr param vehicle time,curr param,desired pt[0] time,desired pt[0] vehicle time,desired pt[0],desired pt[1] time,desired pt[1] vehicle time,desired pt[1],desired yaw (rad) time,desired yaw (rad) vehicle time,desired yaw (rad),crosstrack error time,crosstrack error vehicle time,crosstrack error,front wheel angle (rad) time,front wheel angle (rad) vehicle time,front wheel angle (rad),desired speed (m/s) time,desired speed (m/s) vehicle time,desired speed (m/s),feedforward accel (m/s^2) time,feedforward accel (m/s^2) vehicle time,feedforward accel (m/s^2),output accel (m/s^2) time,output accel (m/s^2) vehicle time,output accel (m/s^2),current yaw (rad) time,current yaw (rad) vehicle time,current yaw (rad),current speed (m/s) time,current speed (m/s) vehicle time,current speed (m/s),Past the end of trajectory time,Past the end of trajectory vehicle time
1740481168.5550847,0.42999958992004395,0.02128988060126069,1740481168.5550866,0.42999958992004395,0.0,1740481168.555089,0.42999958992004395,0.0,1740481168.555091,0.42999958992004395,2.216980844298003,1740481168.5550919,0.42999958992004395,0.0,1740481168.5550933,0.42999958992004395,0.0,1740481168.5550942,0.42999958992004395,0.0,1740481168.5550952,0.42999958992004395,0.0,1740481168.5550961,0.42999958992004395,0.15908272541795052,1740481168.555097,0.42999958992004395,1.0,1740481168.555098,0.42999958992004395,1.0612372435695794,1740481168.5550988,0.42999958992004395,0.0,1740481168.5551002,0.42999958992004395,0.09784548184837108,1740481176.2188554,8.039992332458496
1740481168.5717857,0.4399995803833008,0.02128988060126069,1740481168.5717878,0.4399995803833008,0.0,1740481168.5717897,0.4399995803833008,0.0,1740481168.571792,0.4399995803833008,2.216980844298003,1740481168.571793,0.4399995803833008,0.0,1740481168.5717945,0.4399995803833008,0.0,1740481168.5717955,0.4399995803833008,0.0,1740481168.5717964,0.4399995803833008,0.0,1740481168.5717976,0.4399995803833008,0.15908272541795052,1740481168.5717986,0.4399995803833008,1.0,1740481168.5717995,0.4399995803833008,1.0612372435695794,1740481168.5718005,0.4399995803833008,0.0,1740481168.5718017,0.4399995803833008,0.09784548184837108,1740481176.2375052,8.05999231338501
1740481168.591285,0.4699995517730713,0.02128988060126069,1740481168.591287,0.4699995517730713,0.0,1740481168.591289,0.4699995517730713,0.0,1740481168.5912912,0.4699995517730713,2.216980844298003,1740481168.5912921,0.4699995517730713,0.0,1740481168.5912933,0.4699995517730713,0.0,1740481168.5912948,0.4699995517730713,0.0,1740481168.5912957,0.4699995517730713,0.0,1740481168.5912967,0.4699995517730713,0.15908272541795052,1740481168.5912979,0.4699995517730713,1.0,1740481168.5912988,0.4699995517730713,1.0612372435695794,1740481168.5912995,0.4699995517730713,0.0,1740481168.5913007,0.4699995517730713,0.09784548184837108,1740481176.2581203,8.079992294311523
1740481168.6114552,0.48999953269958496,0.02128988060126069,1740481168.6114573,0.48999953269958496,0.0,1740481168.6114593,0.48999953269958496,0.0,1740481168.6114614,0.48999953269958496,2.216980844298003,1740481168.6114624,0.48999953269958496,0.0,1740481168.611464,0.48999953269958496,0.0,1740481168.611465,0.48999953269958496,0.0,1740481168.6114662,0.48999953269958496,0.0,1740481168.6114674,0.48999953269958496,0.15908272541795052,1740481168.6114683,0.48999953269958496,1.0,1740481168.6114693,0.48999953269958496,1.0612372435695794,1740481168.61147,0.48999953269958496,0.0,1740481168.6114712,0.48999953269958496,0.09784548184837108,1740481176.2775009,8.099992275238037
1740481168.6330137,0.5099995136260986,0.02128988060126069,1740481168.633016,0.5099995136260986,0.0,1740481168.6330187,0.5099995136260986,0.0,1740481168.6330419,0.5099995136260986,2.216980844298003,1740481168.633043,0.5099995136260986,0.0,1740481168.6330445,0.5099995136260986,0.0,1740481168.6330454,0.5099995136260986,0.0,1740481168.6330469,0.5099995136260986,0.0,1740481168.6330478,0.5099995136260986,0.15908272541795052,1740481168.633049,0.5099995136260986,1.0,1740481168.6330502,0.5099995136260986,1.0612372435695794,1740481168.633051,0.5099995136260986,0.0,1740481168.6330519,0.5099995136260986,0.09784548184837108,1740481176.2985492,8.11999225616455
1740481168.6543286,0.5199995040893555,0.02128988060126069,1740481168.654331,0.5199995040893555,0.0,1740481168.6543334,0.5199995040893555,0.0,1740481168.6543357,0.5199995040893555,2.216980844298003,1740481168.6543367,0.5199995040893555,0.0,1740481168.6543381,0.5199995040893555,0.0,1740481168.6543393,0.5199995040893555,0.0,1740481168.6543403,0.5199995040893555,0.0,1740481168.6543415,0.5199995040893555,0.15908272541795052,1740481168.6543427,0.5199995040893555,1.0,1740481168.6543436,0.5199995040893555,1.0612372435695794,1740481168.654345,0.5199995040893555,0.0,1740481168.6543462,0.5199995040893555,0.09784548184837108,1740481176.3194714,8.139992237091064
1740481168.6774688,0.549999475479126,0.03658030270426593,1740481168.6774707,0.549999475479126,0.0,1740481168.6774728,0.549999475479126,0.0003972161186799886,1740481168.6774745,0.549999475479126,2.4170292552071655,1740481168.6774757,0.549999475479126,0.0,1740481168.677477,0.549999475479126,0.0,1740481168.677478,0.549999475479126,0.0,1740481168.6774793,0.549999475479126,0.0,1740481168.6774802,0.549999475479126,0.2815572125571095,1740481168.6774812,0.549999475479126,0.0,1740481168.6774821,0.549999475479126,0.09418109301513448,1740481168.6774833,0.549999475479126,0.0,1740481168.6774843,0.549999475479126,0.19767107924361257,1740481176.3397815,8.159992218017578
1740481168.7391875,0.5899994373321533,0.03658030270426593,1740481168.7391894,0.5899994373321533,0.0,1740481168.7391918,0.5899994373321533,0.0003972161186799886,1740481168.7391942,0.5899994373321533,2.4170292552071655,1740481168.7391949,0.5899994373321533,0.0,1740481168.739196,0.5899994373321533,0.0,1740481168.7391975,0.5899994373321533,0.0,1740481168.7391984,0.5899994373321533,0.0,1740481168.7391994,0.5899994373321533,0.2815572125571095,1740481168.7392006,0.5899994373321533,0.0,1740481168.7392013,0.5899994373321533,0.08388613331349695,1740481168.7392023,0.5899994373321533,0.0,1740481168.7392032,0.5899994373321533,0.19767107924361257,1740481176.3589513,8.179992198944092
1740481168.7969403,0.6299993991851807,0.03658030270426593,1740481168.7969422,0.6299993991851807,0.0,1740481168.7969449,0.6299993991851807,0.0,1740481168.7969472,0.6299993991851807,2.431922461191491,1740481168.7969482,0.6299993991851807,0.0,1740481168.7969494,0.6299993991851807,0.0,1740481168.7969506,0.6299993991851807,0.0,1740481168.7969515,0.6299993991851807,0.0,1740481168.7969525,0.6299993991851807,0.25890832281319204,1740481168.7969537,0.6299993991851807,0.0,1740481168.7969546,0.6299993991851807,0.061237243569579464,1740481168.7969556,0.6299993991851807,0.0,1740481168.7969568,0.6299993991851807,0.19767107924361257,1740481176.3779638,8.199992179870605
1740481169.0216656,0.8399991989135742,0.08542104944423468,1740481169.0216675,0.8399991989135742,0.0,1740481169.0216696,0.8399991989135742,0.0,1740481169.0216718,0.8399991989135742,2.5446043705295285,1740481169.0216727,0.8399991989135742,0.0,1740481169.021674,0.8399991989135742,0.0,1740481169.0216753,0.8399991989135742,0.0,1740481169.0216763,0.8399991989135742,0.0,1740481169.0216773,0.8399991989135742,0.4133033912513854,1740481169.0216784,0.8399991989135742,0.0,1740481169.0216792,0.8399991989135742,0.21154686796783906,1740481169.02168,0.8399991989135742,0.0,1740481169.021681,0.8399991989135742,0.229591660542647,1740481176.3975103,8.21999216079712
1740481169.0410554,0.8599991798400879,0.11094645689171756,1740481169.0410576,0.8599991798400879,0.0,1740481169.0410604,0.8599991798400879,0.0012122567643879484,1740481169.0410626,0.8599991798400879,2.5596240043301326,1740481169.0410638,0.8599991798400879,0.0,1740481169.0410652,0.8599991798400879,0.0,1740481169.0410664,0.8599991798400879,0.0,1740481169.0410678,0.8599991798400879,0.0,1740481169.0410688,0.8599991798400879,0.5357778783905444,1740481169.0410695,0.8599991798400879,0.0,1740481169.0410707,0.8599991798400879,0.3518147606198158,1740481169.0410717,0.8599991798400879,0.0,1740481169.0410724,0.8599991798400879,0.2364953490607551,1740481176.419309,8.239992141723633
1740481169.056597,0.8799991607666016,0.11094645689171756,1740481169.0565994,0.8799991607666016,0.0,1740481169.0566015,0.8799991607666016,0.0012122567643879484,1740481169.056604,0.8799991607666016,2.5596240043301326,1740481169.0566049,0.8799991607666016,0.0,1740481169.0566063,0.8799991607666016,0.0,1740481169.0566075,0.8799991607666016,0.0,1740481169.0566084,0.8799991607666016,0.0,1740481169.05661,0.8799991607666016,0.5357778783905444,1740481169.056611,0.8799991607666016,0.0,1740481169.0566123,0.8799991607666016,0.29928252932978927,1740481169.056614,0.8799991607666016,0.0,1740481169.056615,0.8799991607666016,0.2364953490607551,1740481176.4394772,8.259992122650146
1740481169.0771894,0.8999991416931152,0.11094645689171756,1740481169.0771914,0.8999991416931152,0.0,1740481169.0771935,0.8999991416931152,0.0012122567643879484,1740481169.077196,0.8999991416931152,2.5596240043301326,1740481169.0771968,0.8999991416931152,0.0,1740481169.077198,0.8999991416931152,0.0,1740481169.0771995,0.8999991416931152,0.0,1740481169.0772002,0.8999991416931152,0.0,1740481169.0772011,0.8999991416931152,0.5357778783905444,1740481169.077202,0.8999991416931152,0.0,1740481169.0772033,0.8999991416931152,0.29928252932978927,1740481169.077204,0.8999991416931152,0.0,1740481169.077205,0.8999991416931152,0.2364953490607551,1740481176.4592218,8.27999210357666
1740481169.0964708,0.9199991226196289,0.11094645689171756,1740481169.0964725,0.9199991226196289,0.0,1740481169.0964751,0.9199991226196289,0.0012122567643879484,1740481169.0964773,0.9199991226196289,2.5596240043301326,1740481169.0964782,0.9199991226196289,0.0,1740481169.0964794,0.9199991226196289,0.0,1740481169.0964808,0.9199991226196289,0.0,1740481169.0964816,0.9199991226196289,0.0,1740481169.0964825,0.9199991226196289,0.5357778783905444,1740481169.0964835,0.9199991226196289,0.0,1740481169.0964844,0.9199991226196289,0.29928252932978927,1740481169.0964854,0.9199991226196289,0.0,1740481169.0964866,0.9199991226196289,0.2364953490607551,1740481176.4786985,8.299992084503174
